postac_a,postac_b,sila
BRUTAL,PAUL,27
COFFEY,PAUL,23
BRUTAL,COFFEY,16
PAUL,PERCY,14
BRUTAL,PERCY,13
HARRY,PAUL,13
BRUTAL,HARRY,12
DEL,PAUL,10
BILLY,PAUL,10
COFFEY,DEL,9
JAN,PAUL,9
BRUTAL,DEAN,9
DEAN,PAUL,9
HAL,PAUL,8
BILLY,BRUTAL,8
BRUTAL,DEL,7
COFFEY,HARRY,7
COFFEY,PERCY,7
DEAN,HARRY,7
BILLY,COFFEY,7
ELAINE,PAUL,6
DEL,PERCY,6
HARRY,PERCY,6
DEAN,PERCY,6
COFFEY,HAL,5
COFFEY,DEAN,5
BRUTAL,HAL,5
DEL,HARRY,4
BILLY,DEL,4
BILLY,HARRY,4
BILLY,PERCY,4
BRAD,ELAINE,3
BRAD,PAUL,3
KLAUS,PAUL,3
MARJORIE,PAUL,3
PAUL,VAN HAY,3
PERCY,VAN HAY,3
HAL,PERCY,3
BILLY,DEAN,3
COFFEY,MELINDA,3
HAL,MELINDA,3
FRED ASTAIRE,PAUL,2
KLAUS,MARJORIE,2
BILL,DEL,2
BRUTAL,VAN HAY,2
HARRY,TOOT,2
PAUL,TOOT,2
BILLY,TIMECUT:,2
BRUTAL,TIMECUT:,2
PAUL,TIMECUT:,2
BRUTAL,JAN,2
DEAN,JAN,2
HARRY,JAN,2
BRUTAL,MELINDA,2
MELINDA,PAUL,2
BRAD,ELDERLY LADIES,1
BRAD,ELDERLY LADY #1,1
BRAD,ELDERLY LADY #2,1
BRAD,FRED ASTAIRE,1
BRAD,ORDERLY,1
BRAD,PETE,1
ELAINE,ELDERLY LADIES,1
ELAINE,ELDERLY LADY #1,1
ELAINE,ELDERLY LADY #2,1
ELAINE,FRED ASTAIRE,1
ELAINE,ORDERLY,1
ELAINE,PETE,1
ELDERLY LADIES,ELDERLY LADY #1,1
ELDERLY LADIES,ELDERLY LADY #2,1
ELDERLY LADIES,FRED ASTAIRE,1
ELDERLY LADIES,ORDERLY,1
ELDERLY LADIES,PAUL,1
ELDERLY LADIES,PETE,1
ELDERLY LADY #1,ELDERLY LADY #2,1
ELDERLY LADY #1,FRED ASTAIRE,1
ELDERLY LADY #1,ORDERLY,1
ELDERLY LADY #1,PAUL,1
ELDERLY LADY #1,PETE,1
ELDERLY LADY #2,FRED ASTAIRE,1
ELDERLY LADY #2,ORDERLY,1
ELDERLY LADY #2,PAUL,1
ELDERLY LADY #2,PETE,1
FRED ASTAIRE,ORDERLY,1
FRED ASTAIRE,PETE,1
ORDERLY,PAUL,1
ORDERLY,PETE,1
PAUL,PETE,1
HOWIE,KLAUS,1
HOWIE,MARJORIE,1
HOWIE,PAUL,1
COFFEY,THE RIVER,1
HAL,THE RIVER,1
PAUL,THE RIVER,1
BILL,BRUTAL,1
BILL,COFFEY,1
BILL,HARRY,1
BILL,PAUL,1
BILL,PERCY,1
BILL,THE MOUSE,1
BRUTAL,THE MOUSE,1
COFFEY,THE MOUSE,1
DEL,THE MOUSE,1
HARRY,THE MOUSE,1
PAUL,THE MOUSE,1
PERCY,THE MOUSE,1
BEHIND THE PARTITION,BRUTAL,1
BEHIND THE PARTITION,DEAN,1
BEHIND THE PARTITION,HARRY,1
BEHIND THE PARTITION,PAUL,1
BEHIND THE PARTITION,PERCY,1
BEHIND THE PARTITION,RESUME MAIN CHAMBER,1
BEHIND THE PARTITION,TOOT,1
BEHIND THE PARTITION,VAN HAY,1
BRUTAL,RESUME MAIN CHAMBER,1
BRUTAL,TOOT,1
DEAN,RESUME MAIN CHAMBER,1
DEAN,TOOT,1
DEAN,VAN HAY,1
HARRY,RESUME MAIN CHAMBER,1
HARRY,VAN HAY,1
PAUL,RESUME MAIN CHAMBER,1
PERCY,RESUME MAIN CHAMBER,1
PERCY,TOOT,1
RESUME MAIN CHAMBER,TOOT,1
RESUME MAIN CHAMBER,VAN HAY,1
TOOT,VAN HAY,1
BITTERBUCK,PAUL,1
AT THE GUARD STATION,BRUTAL,1
AT THE GUARD STATION,COFFEY,1
AT THE GUARD STATION,DEL,1
AT THE GUARD STATION,PAUL,1
AT THE GUARD STATION,PERCY,1
BILLY,COFFEY'S CELL,1
BILLY,THE DOOR,1
BRUTAL,COFFEY'S CELL,1
BRUTAL,THE DOOR,1
COFFEY,COFFEY'S CELL,1
COFFEY,THE DOOR,1
COFFEY'S CELL,DEL,1
COFFEY'S CELL,HARRY,1
COFFEY'S CELL,PAUL,1
COFFEY'S CELL,THE DOOR,1
DEL,THE DOOR,1
HARRY,THE DOOR,1
PAUL,THE DOOR,1
BURT,CYNTHIA,1
BURT,PAUL,1
CYNTHIA,PAUL,1
HARRY,TIMECUT:,1
COFFEY,TOOT,1
DEL,TOOT,1
BILL,EARL,1
DEL,EARL,1
DEAN,DEL,1
BILLY,FAT LADY,1
BILLY,HAL,1
BILLY,MAN,1
BILLY,VAN HAY,1
BILLY,WITNESSES,1
BRUTAL,FAT LADY,1
BRUTAL,MAN,1
BRUTAL,WITNESSES,1
COFFEY,FAT LADY,1
COFFEY,MAN,1
COFFEY,VAN HAY,1
COFFEY,WITNESSES,1
DEL,FAT LADY,1
DEL,HAL,1
DEL,MAN,1
DEL,VAN HAY,1
DEL,WITNESSES,1
FAT LADY,HAL,1
FAT LADY,MAN,1
FAT LADY,PAUL,1
FAT LADY,PERCY,1
FAT LADY,VAN HAY,1
FAT LADY,WITNESSES,1
HAL,MAN,1
HAL,VAN HAY,1
HAL,WITNESSES,1
MAN,PAUL,1
MAN,PERCY,1
MAN,VAN HAY,1
MAN,WITNESSES,1
PAUL,WITNESSES,1
PERCY,WITNESSES,1
VAN HAY,WITNESSES,1
BRUTAL,THE MEN,1
